Microrganismo,Código
Enterococcus faecalis,1
Staphylococcus haemolyticus,2
Candida glabrata,3
Proteus mirabilis,4
Escherichia coli,5
Klebsiella pneumoniae,6
Staphylococcus epidermidis,7
Pseudomonas aeruginosa,8
Enterobacter cloacae,9
Stenotrophomonas maltophilia,10
Candida albicans,11
Sphingomonas paucimobilis,12
Staphylococcus aureus,13
Pseudomonas Fluorescens,14
Candida parapsilosis,15
Serratia marcescens,16
Acinetobacter baumannii,17
Morganela morganii,18
Candida tropicalis,19
Providencia stuartii,20
Micrococus sp,21
Staphylococcus coagulase negativo,22
Candida famata,23
Staphylococcus hominis,24
Complexo Burkholderia cepacia,25
Pseudomonas putida,26
Streptococcus mitis,27
Enterococcus faecium,28
Klebsiella oxytoca,29
Streptococcus agalactiae,30
Streptococcus do grupo viridans,31
Staphylococcus saprophyticus,32
Citrobacter freundii,33
Kocuria sp,34
Staphylococcus spp,35
Klebsiella aerogenes,36
Enterobacter spp,37
Acinetobacter spp,38
Citrobacter spp,39
Citrobacter koseri,40
Proteus spp,41
Streptococcus pneumoniae,42
Elizabethkingia meningoseptica,43
Enterococcus gallinarum,44
Pseudomonas stutzeri,45
Salmonella spp,46
Streptococcus spp,47
Acinetobacter lwoffii,48
Pseudomonas mendocina,49
Enterococcus spp,50
Proteus penneri,51
Proteus hauseri,52
Providencia rettgeri,53
Kluyvera cryocrescens,54
Edwardsiella spp,55
Staphylococcus lugdunensis,56
Enterobacter aerogenes,57
Candida krusei,58
Citrobacter amalonaticus,59
Serratia odorifera,60
Salmonella entérica,61
Citrobacter farmeri,62
Cronobacter sakazakii,63
Kluyvera intermedia,64
Moraxella spp,65
Outro,66
